"year","month","day","original","record","province","district","drone_flag","operations_flag","clash_flag","militant_flag","reduced","suicide","operations","ied","clash","drone","sectarian","fat_personnel","fat_militant","fat_civilian","fat_militia","inj_personnel","inj_militant","inj_civilian","inj_militia","body","cas_personnel","cas_militant","cas_civilian","cas_militia","cas_body","p_p","p_n","m_p","m_n","u_p","u_n","d_a","date"
"2012","10","26","at least nine militants were killed and several others injured in the ongoing operation in Akkakhel area of Bara tehsil in Khyber Agency of FATA","9 MILITANT WEREATTACKED and 0 WEREINJURED the ongoing OPERATIONS area tehsil of fata","fata","khyber",FALSE,TRUE,FALSE,FALSE,"9 MILITANT WEREATTACKED 0 MILITANT WEREINJURED",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,NA,NA,NA,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2012-10-26
"2012","10","25","nine militants were killed and five hideouts were destroyed when the Army gunship helicopters bombed hideouts of militants in Akkakhel area of Bara tehsil in Khyber Agency of FATA","9 MILITANT WEREATTACKED and WEREATTACKED when the OPERATIONS MILITANT area tehsil of fata","fata","khyber",FALSE,TRUE,FALSE,FALSE,"9 MILITANT WEREATTACKED MILITANT",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,9,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2012-10-25
"2012","10","25","at least five cadres of ASWJ were shot dead in a sectarian attack at Gulzar e Habib restaurant in FB area of Karachi","0 MILITANT aswj WEREATTACKED SECTARIAN restaurant in fb area","sindh","karachi",FALSE,FALSE,TRUE,TRUE,"0 MILITANT WEREATTACKED",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2012-10-25
"2012","10","24","A US drone fired two missiles at a suspected militant compound in Miranshah the headquarters of North Waziristan Agency in FATA killing three people","DRONE 1 MILITANT WEREATTACKED compound the in fata ATTACKED 3 CIVILIAN","fata","north waziristan",TRUE,FALSE,FALSE,FALSE,"1 MILITANT WEREATTACKED 3 CIVILIAN WEREATTACKED",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,1,3,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2012-10-24
"2012","10","22","in a retaliatory attack the SFs fired shells using light artillery and heavy machineguns in civilian dominated villages killing at least three civilians identified as Khwaja Mohammad his son Jan Mohammad and one Ghaffar Khan and injuring 25 others including women and children in Miranshah the headquarters of North Waziristan Agency in FATA","in retaliatory 1 PERSONNEL WEREATTACKED ATTACKED shells using light OPERATIONS and heavy machineguns CIVILIAN dominated villages 3 CIVILIAN WEREATTACKED his and 1 and 25 WEREINJURED including CIVILIAN and CIVILIAN the in fata","fata","north waziristan",FALSE,TRUE,TRUE,FALSE,"1 PERSONNEL WEREATTACKED CIVILIAN 3 CIVILIAN WEREATTACKED 1 CIVILIAN WEREINJURED CIVILIAN",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,NA,3,NA,NA,NA,1,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2012-10-22
"2012","10","21","at least eight militants were killed and six others injured during an operation by SFs in Mamoonzai and Khadezai area of Orakzai Agency in FATA","8 MILITANT WEREATTACKED and 6 WEREINJURED during OPERATIONS PERSONNEL and area in fata","fata","orakzai",FALSE,TRUE,FALSE,FALSE,"8 MILITANT WEREATTACKED 6 MILITANT WEREINJURED PERSONNEL",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,NA,NA,NA,6,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2012-10-21
"2012","10","19","three cadres of ASWJ and students of the Darul Khair Madrassa in Gulistan e Jauhar identified as Qari Mujahid Qari Azizur Rehman and Abdul Rauf were shot dead in a suspected sectarian attack on Abul Hasan Ispahani Road near the SUI Head Office in Karachi the provincial capital of Sindh","0 MILITANT aswj and CIVILIAN the and WEREATTACKED suspected SECTARIAN near the sui the provincial capital","sindh","karachi",FALSE,FALSE,TRUE,TRUE,"0 MILITANT WEREATTACKED",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2012-10-19
"2012","10","19","at least three personnel of FC were killed and ten others including five security men and a woman were wounded in a remote controlled blast at the Badini intersection area in Quetta","3 PERSONNEL WEREATTACKED and 10 PERSONNEL men and CIVILIAN WEREINJURED remote controlled IED the intersection area","balochistan","quetta",FALSE,FALSE,FALSE,TRUE,"3 PERSONNEL WEREATTACKED 10 PERSONNEL WEREINJURED",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,NA,NA,NA,10,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2012-10-19
"2012","10","19","two militants and a trooper were killed and two passers by were injured in an exchange of fire at a checkpost in Civil Colony of Miranshah Headquarter of North Waziristan Agency in FATA","2 MILITANT and PERSONNEL WEREATTACKED and 2 CIVILIAN WEREINJURED CLASH LOCATION fata","fata","north waziristan",FALSE,FALSE,TRUE,TRUE,"2 MILITANT WEREATTACKED 2 CIVILIAN WEREINJURED",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2,NA,NA,NA,NA,2,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2012-10-19
"2012","10","18","at least eight militants were killed and seven others injured when SF backed by fighter planes bombed suspected militants positions in different parts of Bara in Khyber Agency in Khyber Agency in FATA","8 MILITANT WEREATTACKED and 7 WEREINJURED when PERSONNEL backed by fighter OPERATIONS different parts in fata","fata","khyber",FALSE,TRUE,FALSE,FALSE,"8 MILITANT WEREATTACKED 7 MILITANT WEREINJURED PERSONNEL",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,8,NA,NA,NA,7,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2012-10-18
