PROVINCE,DISTRICT,TEHSIL,Union Council
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Bagh
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Bakot
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Bal Dheri
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Banda Pir Khan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Bandi Attaikhan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Biran Gali
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Birot Kalan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Boi
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Cantonment Area
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Chamhad
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Chamhdah
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Dahamtore
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Dalola
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Dewal Manal
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Garhi Phulgran
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Gorini
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Havelian
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Jhangi
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Jhangran
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Kakol
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Kathwal
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Kokmang
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Kothiala
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Langra
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Langrial
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Lora
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Majohan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Mir Pur
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Nagri Bala
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Nagri Totial
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Namal
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Namli Mera
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Nara
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Nathia Gali
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Palak
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Pattan Kalan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Pawa
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Phala
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Pind Kargoo Khan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Salhad
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Seer Gharbi
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Sheikhul Band
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Sherwan
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,Sir Bhanna Phal Kot
Khyber Pakhtunkhwa,Batagram,Alai,Bana
Khyber Pakhtunkhwa,Batagram,Alai,Batila
Khyber Pakhtunkhwa,Batagram,Alai,Batkul
Khyber Pakhtunkhwa,Batagram,Alai,Biari
Khyber Pakhtunkhwa,Batagram,Alai,Jambera
Khyber Pakhtunkhwa,Batagram,Alai,Pashto
Khyber Pakhtunkhwa,Batagram,Alai,Rashang
Khyber Pakhtunkhwa,Batagram,Alai,Sakkar Gah
Khyber Pakhtunkhwa,Shangla,Alpuri,Alpuri
Khyber Pakhtunkhwa,Shangla,Alpuri,Damorai
Khyber Pakhtunkhwa,Shangla,Alpuri,Deri
Khyber Pakhtunkhwa,Shangla,Alpuri,Kozkana
Khyber Pakhtunkhwa,Shangla,Alpuri,Lilowani
Khyber Pakhtunkhwa,Shangla,Alpuri,Malak Khel
Khyber Pakhtunkhwa,Shangla,Alpuri,Pir Abad
Khyber Pakhtunkhwa,Shangla,Alpuri,Pir Khana
Khyber Pakhtunkhwa,Shangla,Alpuri,Shahpur
Khyber Pakhtunkhwa,Swat,Babuzai,Aka Maruf Bami Khel
Khyber Pakhtunkhwa,Swat,Babuzai,Dangram Sangota
Khyber Pakhtunkhwa,Swat,Babuzai,Islampur
Khyber Pakhtunkhwa,Swat,Babuzai,Kokarai
Khyber Pakhtunkhwa,Swat,Babuzai,Manglawar
Khyber Pakhtunkhwa,Swat,Babuzai,Mingora Urben
Khyber Pakhtunkhwa,Swat,Babuzai,Odigram
Khyber Pakhtunkhwa,Swat,Babuzai,Qambar
Khyber Pakhtunkhwa,Swat,Babuzai,Tindodag
Khyber Pakhtunkhwa,Swat,Bahrain,Bahrain
Khyber Pakhtunkhwa,Swat,Bahrain,Balakot
Khyber Pakhtunkhwa,Swat,Bahrain,Bashigram
Khyber Pakhtunkhwa,Swat,Bahrain,Madyan
Khyber Pakhtunkhwa,Swat,Bahrain,Mankial
Khyber Pakhtunkhwa,Swat,Bahrain,Tirat
Khyber Pakhtunkhwa,Mansehra,Balakot,Bala Kot
Khyber Pakhtunkhwa,Mansehra,Balakot,Garhi Habibullah
Khyber Pakhtunkhwa,Mansehra,Balakot,Garlat
Khyber Pakhtunkhwa,Mansehra,Balakot,Ghanool
Khyber Pakhtunkhwa,Mansehra,Balakot,Grai
Khyber Pakhtunkhwa,Mansehra,Balakot,Hangrai
Khyber Pakhtunkhwa,Mansehra,Balakot,Kaghan
Khyber Pakhtunkhwa,Mansehra,Balakot,Karnol
Khyber Pakhtunkhwa,Mansehra,Balakot,Kawai
Khyber Pakhtunkhwa,Mansehra,Balakot,Mohandri
Khyber Pakhtunkhwa,Mansehra,Balakot,Phagala
Khyber Pakhtunkhwa,Mansehra,Balakot,Sat Bani
Khyber Pakhtunkhwa,Mansehra,Balakot,Shohal Mazullah
Khyber Pakhtunkhwa,Mansehra,Balakot,Talhata
Khyber Pakhtunkhwa,Mansehra,Balakot,Unkno
Khyber Pakhtunkhwa,Karak,Banda Daud Shah,Bahadar Khel
Khyber Pakhtunkhwa,Karak,Banda Daud Shah,Gurguri
Khyber Pakhtunkhwa,Karak,Banda Daud Shah,Jatta Ismail Khel
Khyber Pakhtunkhwa,Karak,Banda Daud Shah,Nari Panos
Khyber Pakhtunkhwa,Karak,Banda Daud Shah,Teri
Khyber Pakhtunkhwa,Bannu,Bannu,Amandi
Khyber Pakhtunkhwa,Bannu,Bannu,Baharat
Khyber Pakhtunkhwa,Bannu,Bannu,Bakka Khel Wazir
Khyber Pakhtunkhwa,Bannu,Bannu,Bannu Mc
Khyber Pakhtunkhwa,Bannu,Bannu,Bazar Ahmed Khan
Khyber Pakhtunkhwa,Bannu,Bannu,Daud Shah
Khyber Pakhtunkhwa,Bannu,Bannu,Fatima Khel Beli
Khyber Pakhtunkhwa,Bannu,Bannu,Fatima Khel Kalan
Khyber Pakhtunkhwa,Bannu,Bannu,Garhi Sher Ahmed
Khyber Pakhtunkhwa,Bannu,Bannu,Gorwala
Khyber Pakhtunkhwa,Bannu,Bannu,Hinjal
Khyber Pakhtunkhwa,Bannu,Bannu,Jando Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Jani Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Kaka Khel
Khyber Pakhtunkhwa,Bannu,Bannu,Khawaja Mad
Khyber Pakhtunkhwa,Bannu,Bannu,Khojari
Khyber Pakhtunkhwa,Bannu,Bannu,Lalozai
Khyber Pakhtunkhwa,Bannu,Bannu,Landi Dak
Khyber Pakhtunkhwa,Bannu,Bannu,Mamash Khel Naughari
Khyber Pakhtunkhwa,Bannu,Bannu,Mambati Barakzai
Khyber Pakhtunkhwa,Bannu,Bannu,Mandak
Khyber Pakhtunkhwa,Bannu,Bannu,Mira Khel
