PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C
Gilgit Baltistan,1,Hunza Nagar,107,Gojal,10702
Gilgit Baltistan,1,Skardu,102,Shigar,10204
Gilgit Baltistan,1,Ghanche,104,Mashabrum,10402
Disputed Territory,0,Disputed Territory,0,Disputed Territory,0
Punjab,6,Narowal,625,Shakargarh,62502
Punjab,6,Narowal,625,Narowal,62501
Punjab,6,Sheikhupura,633,Muridke,63302
Punjab,6,Lahore,617,Lahore Cantt,61701
Punjab,6,Kasur,614,Kasur,61402
Punjab,6,Okara,626,Depalpur,62601
Punjab,6,Bahawalnagar,602,Fort Abbas,60203
Punjab,6,Bahawalpur,603,Yazman,60304
Punjab,6,Rahim Yar Khan,628,Liaquatpur,62802
Sindh,8,Sukkur,818,Salehpat,81803
Sindh,8,Khairpur,809,Nara,80907
Sindh,8,Sanghar,814,Khipro,81402
Sindh,8,Tharparkar,821,Chachro,82101
Sindh,8,Karachi City,807,Malir,80701
Sindh,8,Thatta,822,Mirpur Sakro,82206
Sindh,8,Tharparkar,821,Nagarparkar,82104
Sindh,8,Tharparkar,821,Mithi,82103
Sindh,8,Thatta,822,Ghorabari,82201
Sindh,8,Badin,801,Badin,80101
Sindh,8,Tharparkar,821,Diplo,82102
Sindh,8,Thatta,822,Keti Bander,82203
Sindh,8,Thatta,822,Shah Bander,82207
Sindh,8,Thatta,822,Jati,82202
Gilgit Baltistan,1,Ghizer,105,Ishkomen,10502
Gilgit Baltistan,1,Ghizer,105,Gupis,10501
Gilgit Baltistan,1,Gilgit,106,Gilgit,10601
Gilgit Baltistan,1,Hunza Nagar,107,Nagar-ii,10704
Gilgit Baltistan,1,Diamir,103,Darel Tangir,10302
Gilgit Baltistan,1,Astore,101,Astore,10101
Gilgit Baltistan,1,Diamir,103,Chilas,10301
Gilgit Baltistan,1,Skardu,102,Kharmang,10202
Gilgit Baltistan,1,Skardu,102,Gultari,10201
Gilgit Baltistan,1,Ghanche,104,Khaplu,10401
Gilgit Baltistan,1,Skardu,102,Rondu,10203
Gilgit Baltistan,1,Skardu,102,Skardu,10205
Gilgit Baltistan,1,Hunza Nagar,107,Nagar-i,10703
Gilgit Baltistan,1,Hunza Nagar,107,Aliabad,10701
Gilgit Baltistan,1,Ghizer,105,Yasin,10504
Gilgit Baltistan,1,Ghizer,105,Punial,10503
Federal Capital Territory,5,Islamabad,501,Islamabad,50101
Azad Kashmir,3,Neelum,308,Athumqam,30801
Azad Kashmir,3,Sudhnoti,310,Pallandari,31001
Sindh,8,Tando Allah Yar,819,Tando Allah Yar,81901
Sindh,8,Tando Muhammad Khan,820,Bulri Shah Karim,82003
Azad Kashmir,3,Bagh,301,Dheerkot,30102
Azad Kashmir,3,Muzaffarabad,307,Muzaffarabad,30701
Azad Kashmir,3,Hattian,303,Hattian Bala,30301
Azad Kashmir,3,Haveli,304,Haveli,30401
Azad Kashmir,3,Bagh,301,Bagh,30101
Azad Kashmir,3,Poonch,309,Abbaspur,30901
Azad Kashmir,3,Poonch,309,Hajeera,30902
Azad Kashmir,3,Poonch,309,Rawalakot,30903
Azad Kashmir,3,Kotli,305,Sehnsa,30503
Azad Kashmir,3,Kotli,305,Nakial,30502
Azad Kashmir,3,Kotli,305,Kotli,30501
Azad Kashmir,3,Mirpur,306,Mirpur,30602
Azad Kashmir,3,Mirpur,306,Dudyal,30601
Azad Kashmir,3,Bhimber,302,Samahni,30203
Azad Kashmir,3,Bhimber,302,Barnala,30201
Azad Kashmir,3,Bhimber,302,Bhimber,30202
Sindh,8,Kashmore,808,Kashmore,80802
Sindh,8,Kashmore,808,Tangwani,80803
Sindh,8,Ghotki,803,Daharki,80301
Sindh,8,Ghotki,803,Khangarh,80303
Sindh,8,Ghotki,803,Ghotki,80302
Sindh,8,Ghotki,803,Mirpur Mathelo,80304
Sindh,8,Jacobabad,805,Garhi Khairo,80501
Sindh,8,Jacobabad,805,Thul,80503
Sindh,8,Jacobabad,805,Jacobabad,80502
Sindh,8,Shikarpur,817,Garhi Yasin,81701
Sindh,8,Shikarpur,817,Khanpur (Shikarpur),81702
Sindh,8,Shikarpur,817,Lakhi,81703
Sindh,8,Sukkur,818,Pano Aqil,81801
Sindh,8,Sukkur,818,Sukkur,81804
Sindh,8,Sukkur,818,Rohri,81802
Sindh,8,Khairpur,809,Mirwah,80906
Sindh,8,Khairpur,809,Sobodhero,80908
Sindh,8,Khairpur,809,Kingri,80904
Sindh,8,Khairpur,809,Gambat,80902
Sindh,8,Khairpur,809,Khairpur,80903
Sindh,8,Khairpur,809,Kot Diji,80905
Sindh,8,Larkana,810,Ratodero,81004
Sindh,8,Larkana,810,Larkana,81003
Sindh,8,Qambar Shahdadkot,815,Miro Khan,81502
Sindh,8,Qambar Shahdadkot,815,Qubo Saeed Khan,81505
Sindh,8,Qambar Shahdadkot,815,Warah,81504
Sindh,8,Qambar Shahdadkot,815,Kambar Ali Khan,81501
Sindh,8,Dadu,802,Mehar,80204
Sindh,8,Dadu,802,Khairpur Nathan Shah,80203
Sindh,8,Dadu,802,Johi,80202
Sindh,8,Dadu,802,Dadu,80201
Sindh,8,Naushahro Feroze,813,Kandiaro,81302
Sindh,8,Naushahro Feroze,813,Bhiria,81301
Sindh,8,Jamshoro,806,Thano Bula Khan,80603
Sindh,8,Sanghar,814,Jan Nawaz Ali,81401
Sindh,8,Sanghar,814,Tando Adam,81406
Sindh,8,Matiari,811,Matiari,81102
Sindh,8,Mirpur Khas,812,Mirpur Khas,81204
Sindh,8,Mirpur Khas,812,Kot Ghulam Muhammad,81203
Sindh,8,Mirpur Khas,812,Digri,81201
Sindh,8,Hyderabad,804,Hyderabad City,80404
Sindh,8,Hyderabad,804,Latifabad,80403
Sindh,8,Hyderabad,804,Hyderabad,80401
Sindh,8,Umerkot,823,Pithoro,82302
Sindh,8,Umerkot,823,Samaro,82303
Sindh,8,Umerkot,823,Umerkot,82304
Sindh,8,Umerkot,823,Kunri,82301
Sindh,8,Badin,801,Matli,80102
Sindh,8,Badin,801,Tando Bago,80104
Sindh,8,Badin,801,Shaheed Fazal Rahu,80103
Sindh,8,Thatta,822,Mirpur Bathoro,82205
Sindh,8,Thatta,822,Sujawal,82208
Sindh,8,Thatta,822,Thatta,82209
Sindh,8,Thatta,822,Kharochan,82204
Punjab,6,Rajanpur,629,De- Excluded Area Rajanpur,62901
Punjab,6,Rajanpur,629,Jampur,62902
Punjab,6,Rajanpur,629,Rajanpur,62903
Punjab,6,Rajanpur,629,Rojhan,62904
Punjab,6,Rahim Yar Khan,628,Khanpur (Rahim Yar Khan),62801
Punjab,6,Rahim Yar Khan,628,Rahim Yar Khan,62803
Punjab,6,Rahim Yar Khan,628,Sadiqabad,62804
Punjab,6,Muzaffargarh,623,Alipur,62301
Punjab,6,Muzaffargarh,623,Jatoi,62302
Punjab,6,Multan,622,Jalalpur Pirwala,62201
Punjab,6,Bahawalpur,603,Ahmadupr East,60305
Punjab,6,Bahawalpur,603,Bahawalpur,60301
Punjab,6,Bahawalpur,603,Kairpur Tamewali,60303
Punjab,6,Bahawalpur,603,Hasilpur,60302
Punjab,6,Bahawalnagar,602,Chishtian,60202
Punjab,6,Bahawalnagar,602,Minchinabad,60205
Punjab,6,Pakpattan,627,Arif Wala,62701
Punjab,6,Pakpattan,627,Pakpattan,62702
Punjab,6,Okara,626,Okara,62602
Punjab,6,Okara,626,Renala Khurd,62603
Punjab,6,Dera Ghazi Khan,607,Dera Ghazi Khan,60702
Punjab,6,Dera Ghazi Khan,607,De-excluded Area D.G.Khan,60701
Punjab,6,Dera Ghazi Khan,607,Taunsa,60703
Punjab,6,Layyah,618,Karor Lal Esan,61802
Punjab,6,Layyah,618,Chaubara,61801
Punjab,6,Layyah,618,Layyah,61803
Punjab,6,Muzaffargarh,623,Muzaffargarh,62304
Punjab,6,Muzaffargarh,623,Kot Addu,62303
Punjab,6,Jhang,612,Shorkot,61203
Punjab,6,Toba Tek Singh,635,Gojra,63501
Punjab,6,Toba Tek Singh,635,Kamalia,63502
Punjab,6,Toba Tek Singh,635,Toba Tek Singh,63503
Punjab,6,Faisalabad,608,Tandlianwala,60806
Punjab,6,Faisalabad,608,Summundari,60805
Punjab,6,Jhang,612,Jhang,61202
Punjab,6,Chiniot,606,Chiniot,60601
Punjab,6,Sargodha,632,Sillanwali,63206
Punjab,6,Khushab,616,Nurpur,61602
