PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C,Union Council,UC_C
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Bagh,200001
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Bakot,200002
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Bal Dheri,200003
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Banda Pir Khan,200004
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Bandi Attaikhan,200005
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Biran Gali,200006
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Birot Kalan,200007
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Boi,200008
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Cantonment Area,200009
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Chamhad,200010
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Chamhdah,200011
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Dahamtore,200012
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Dalola,200013
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Dewal Manal,200014
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Garhi Phulgran,200015
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Gorini,200016
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Havelian,200017
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Jhangi,200018
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Jhangran,200019
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Kakol,200020
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Kathwal,200021
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Kokmang,200022
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Kothiala,200023
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Langra,200024
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Langrial,200025
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Lora,200026
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Majohan,200027
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Mir Pur,200028
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Nagri Bala,200029
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Nagri Totial,200030
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Namal,200031
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Namli Mera,200032
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Nara,200033
Khyber Pakhtunkhwa,2,Abbottabad,201,Abbottabad,20101,Nathia Gali,200034
